order_id,restaurant_id,order_date,items_count,total_price_usd,payment_type,status
9f16036a-b6d6-427d-8522-e060cf076339,949aa0e1-a85e-4edf-a070-9f6bbba1f3d9,2025-07-18T20:01,2,52.72,Cash,Cancelled
3627a26c-af0e-4856-9620-4c3b26fcb368,0d204378-6b8a-413a-ac7e-6f6cc1d05f5d,2024-04-03T20:01,4,28.40,Cash,Cancelled
f708c8df-59df-4101-9195-ba7a0107570e,9a79176d-40d4-4f25-aaf7-c8778a457ec2,2025-05-07T20:01,8,167.44,Cash,Completed
c9b33eb6-b68e-4276-92bd-18c212d4962e,8fb12366-a054-443d-9139-1eafc39b7e57,2024-01-22T20:01,8,88.24,Card,Cancelled
67ebe1d6-5dc1-400c-823d-8633e7cbbe38,a6cff6ee-71e9-43f7-bb7b-dc35f6c303b1,2025-05-20T20:01,3,50.49,Cash,Cancelled
7699f7ea-0a83-4fe3-9f8a-b544c1bebeb2,a6cff6ee-71e9-43f7-bb7b-dc35f6c303b1,2024-07-06T20:01,4,85.76,Cash,Pending
fbe11271-be38-4ef3-a56b-e8103184c3ce,539ca8f4-1b3b-436b-80c4-dbb7e03d2aee,2024-09-24T20:01,9,174.33,Online,Completed
6632c2fa-7dab-4bad-bba7-01f9538df006,4e338183-eb25-4716-997a-dea1b0b1c6e3,2023-12-22T20:01,1,15.24,Cash,Cancelled
ed00bf3c-b1b7-4a2e-8377-16d5fd5eb9dd,8fa788f8-4e33-4d0e-bc5d-8d5160d78d68,2025-08-30T20:01,9,258.39,Online,Cancelled
d9a5dad9-f439-4f70-9c39-1f1ba4e8ed41,a6a2dd17-df57-45ff-ad28-7a1e615e4e12,2025-06-16T20:01,8,93.36,Cash,Cancelled
a961734e-1167-4f90-aeba-c8c2fdab7a56,2c9b63dd-ba72-44ee-8833-4e1ec4f6ab87,2024-12-11T20:01,8,222.56,Cash,Cancelled
070053f3-4658-43f3-8106-919a6dd2c4f4,239dc678-d287-4f8b-a7e6-47cd3b3fdcc7,2024-02-02T20:01,3,20.04,Card,Pending
8cd26844-e533-46fb-bf50-ead92579d196,a9ce3a40-3689-4a56-86ac-93032e8c9697,2025-10-07T20:01,7,76.93,Cash,Completed
1459d3e2-d481-401d-88ea-4b5b1b5df835,315286a1-0cda-4251-83c5-1e6e6414c051,2025-08-13T20:01,8,195.12,Cash,Cancelled
6dfd9ba5-ed49-4e0e-822d-e3b8e3eed685,acf87008-722c-43a7-8fac-4a8a62278c58,2025-01-16T20:01,9,245.25,Card,Pending
96a1d662-aa91-475f-9d61-cce8f64dcc7b,c4856867-eafa-445e-81c7-ea9999f19bec,2024-01-30T20:01,2,24.70,Cash,Cancelled
e2dc00f3-424c-4bfc-acee-a61df29cac63,ae909556-79f5-418d-ab38-1effd5fe510b,2025-07-29T20:01,4,97.40,Card,Completed
c7a30549-2f81-4d7a-bb50-8e2a5c10c036,f310c5d9-7c56-4993-bee5-b3ed91df042b,2024-08-27T20:01,6,134.94,Card,Completed
41871e86-a5dd-4c50-9e2b-851d9ddd81ac,8fb12366-a054-443d-9139-1eafc39b7e57,2024-05-17T20:01,3,55.08,Online,Completed
4df9a440-2af5-49f6-a3bf-4b404b26cd90,0dc9e90f-d9b5-4406-b2be-14d1f4cd80ea,2024-05-01T20:01,3,69.93,Online,Completed
654c19b0-4278-4151-bf94-07e985542b96,935f91a8-a540-4bde-b201-62689159f15b,2025-07-22T20:01,4,93.52,Online,Pending
27214acc-9036-4c25-acbd-77d1e61470d0,5591291e-aa28-4a94-8686-11da47458120,2025-01-19T20:01,2,30.18,Online,Completed
d6eeda92-cdce-4c5a-b978-6da035430979,abe0a36a-fb40-4e33-9c1d-54073e67e7e2,2023-11-07T20:01,8,155.12,Cash,Cancelled
34456856-b5c8-49b5-af5d-23581c9fb348,e14783e6-0857-48bb-bd2a-60fddd2a2b76,2024-05-29T20:01,5,39.60,Cash,Pending
a7b761ec-b81d-4b95-9038-4a0ed3d4153c,4970829a-c275-4a87-9a17-d7a79ae713e4,2024-02-04T20:01,8,236.00,Cash,Pending
