order_id,restaurant_id,order_date,items_count,total_price_usd,payment_type,status
7721c01c-dfaa-4a18-a80d-2170a8c1843d,5b5fd63c-cd19-4da0-b54e-578f5ce67a69,2024-02-17T20:01,8,102.08,Card,Pending
ce4961bb-974f-48fd-8008-af0cdbb6073b,3a5e9a33-08ef-4923-9cc7-969eea631d7c,2024-10-24T20:01,1,15.85,Cash,Cancelled
0b717fc0-eac0-4422-95bc-b88b2835519c,15b09903-dee1-4e26-9c85-b66211ca0cc1,2024-05-13T20:01,2,54.24,Card,Pending
e64b28e0-755c-4ef5-b60f-44aa5960e061,117e243e-b9c7-4c2f-89e0-92ca10ab3d3f,2025-06-30T20:01,9,129.33,Cash,Cancelled
e5812703-ae57-4697-8707-b4e94855faa8,241e1eaf-0793-47bd-a856-aa9304f33ceb,2025-05-01T20:01,4,68.20,Card,Cancelled
5c9fefad-fb35-4ffd-acc1-1b0f8c4fa9bb,f310c5d9-7c56-4993-bee5-b3ed91df042b,2025-08-02T20:01,3,60.69,Cash,Pending
9e0dadaa-013e-4c3d-9af0-3a3d57c47acf,f6beebd8-e326-42f2-b4ed-6602fb5799ab,2024-01-24T20:01,6,106.74,Online,Completed
677a9d87-10e7-458e-bc50-2e7540d53fac,3c83864d-c722-4636-bff8-3c699b4e1bbb,2023-11-09T20:01,1,19.98,Card,Completed
5ae2b20e-9173-4d70-93e6-363bf1e0742b,79d36ff1-d32c-45bd-ab4d-a678633f9686,2023-12-05T20:01,1,29.86,Cash,Completed
65a71ed0-bbeb-400b-a024-76cf78bd8909,507eff53-950d-4aab-a248-b16ae9f0029f,2025-10-20T20:01,4,71.92,Card,Completed
f38e994e-3c30-4e6f-b473-67bb0ca4f37b,e2a65eee-0827-42e8-b565-fea552166c72,2024-11-02T20:01,7,50.26,Cash,Completed
01eda74b-8eaa-40d6-a032-e7308a992096,5591291e-aa28-4a94-8686-11da47458120,2024-04-16T20:01,2,44.70,Cash,Completed
9f4fc642-3311-4eb2-9b0b-c7268422365f,8ad4ba4f-d39b-4954-8670-6a3d35fb7602,2025-10-19T20:01,2,40.36,Cash,Pending
7f05b7ec-dfd1-4684-80f3-184f57a9541f,30c65370-0620-4c74-ada5-f95b335bc455,2025-06-14T20:01,4,73.20,Online,Completed
ec774a1c-6f52-4727-9ff3-df30e530050a,74f6e46e-9d09-4545-a1d5-6e79a2bd246b,2024-06-28T20:01,3,21.12,Cash,Pending
b4022029-0440-4314-95ef-9a69851bdd3c,a4766c95-ad79-43ba-bcc7-470242d62287,2023-11-23T20:01,4,92.80,Cash,Completed
